product_title,cantidad_reseñas,promedio_score
FURminator deShedding Tool,4725,4.67
"Omega Paw Self-Cleaning Litter Box, Green and Beige",2789,4.17
Angels' Eyes Tear-Stain Eliminator for Dogs and Cats,1887,4.41
Merial Frontline Plus Flea and Tick Control for Dogs and Puppies,1886,4.03
Premier Gentle Leader Head Dog Collar,1754,4.43
Petsafe Premier GentleSpray Citronella Anti-Bark Dog Collar,1386,3.53
Drinkwell Platinum Pet Fountain 168oz,1362,4.26
"FURminator deShedding Tool for Cats, 1.75-Inch Edge",1280,4.61
Kyjen Hide-A-Squirrel Puzzle Toy for Dogs,1246,4.35
Fashion Pet Suede Shearling Coat,1194,4.56
Coolaroo Elevated Pet Bed with Knitted Fabric,1152,4.45
Midwest Life Stages Double-Door Folding Metal Dog Crate,1019,4.56
Drinkwell Original Pet Fountain,1010,3.73
"Greenies Treat-Pak for Dogs, Original",982,4.65
Merial Frontline Plus Flea and Tick Control for Cats and Kittens,980,3.56
Premier Easy Walk Harness,943,4.06
K9 advantix II Flea Control for Dogs,938,3.84
Omega Paw Tricky Treat Ball,896,3.95
Midwest Quiet Time Pet Bed,875,4.15
"IRIS Plastic Exercise / Containment Pet Pen for Dogs, White",867,4.48
Aspen pet Cool Flow Pet Fountain,849,3.62
SmartCat Ultimate Scratching Post,835,4.62
ScoopFree Self-Cleaning Litter Box,829,3.72
Midwest iCrate Single-Door Home Training and Travel Series,748,4.59
LitterMaid LM900 Mega Self-Cleaning Litter Box,727,3.19
"Bergan Turbo Scratcher Cat Toy, Colors May Vary",681,4.48
KONG Material Dog - Dr. Noys' Dog Toy,677,3.82
Cat Dancer 301 Cat Charmer Interactive Cat Toy,643,4.59
"PetSafe No-Bark Collar, PBC-102",636,3.65
Victor M230 Ultimate Flea Trap,622,3.38
Premier Busy Buddy Tug-a-Jug Treat Dispensing Dog Toy,619,3.43
"Pro-Treat Beef Liver, Freeze Dried Dog Treats",598,4.74
Solvit PupSTEP Plus Pet Stairs,597,4.36
Zuke's Mini Naturals Dog Treats,561,4.57
Snuggle Safe Pet Bed Microwave Heating Pad,556,4.53
"Petmate LeBistro Portion-Control Automatic Pet Feeder, Black, 4.2 Pounds",535,3.63
"Ethical Pet Wide Durable Heavy Gauge Plastic Colorful Springs Cat Toy, 10-Pack",526,4.01
Booda Dome Cleanstep Cat Box,518,3.74
Advantage Topical Flea Treatment for Dogs,514,4.2
PetSafe SlimCat Interactive Toy and Food Dispenser,512,4.25
"Flexi Retractable All Belt Lead, 16ft",512,4.47
"KONG Extreme Dog Toy, Black",511,4.13
Nutramax Cosequin for Cats - 80 Sprinkle Capsules,510,4.72
Comfort Zone with Feliway for Cats Diffuser and Single Refill,509,3.44
"Carlson 0930PW Extra-Wide Walk-Thru Gate with Pet Door, White",507,4.26
Pet Parade Dog Repeller and Training Aid,504,3.29
Solvit 62283 Deluxe Bench Seat Cover for Pets,495,4.32
Clevercat Top Entry Litterbox,485,4.32
IRIS Airtight Pet Food Storage Container,480,4.56
"Feliway 48-Milliliter Plug-In Refills, 6 Refills",478,4.55
"Innotek Anti-Bark Spray Collar, Citronella",463,3.76
Bags on Board Regular Bag Refill Pack,457,3.93
AquaClear Power Filter (UL Listed),454,4.28
LitterMaid LME9000 Elite Mega Advanced Automatic Self-Cleaning Litter Box,452,1.7
Cat Dancer 101 Cat Dancer Interactive Cat Toy,450,4.5
Da Bird Cat Toy - Easy Store - 2 Part Pole,435,4.51
Scat Mat Electronic Pet Training Mat,434,4.34
PetSafe Electronic Pet Feeder,430,3.73
"PetSafe Wireless Pet Containment System, PIF-300",422,4.04
CitiKitty Cat Toilet Training Kit,418,3.26
Lupine Designer Dog Collar,415,4.71
PetSafe Simply Clean Continuous-Clean Litter Box,410,3.29
Snoozer Lookout II Pet Car Seat,409,4.8
Grizzly Salmon Oil All-Natural Dog Food Supplement in Pump-Bottle Dispenser,402,4.56
"Kyjen Puzzle Plush Egg Babies Dog Toy, Fish, 5 Eggs",400,4.12
Lentek 6-Day Automatic Pet Dish,389,3.32
Teafco Fydo Action Water Resistant Dog Collar,389,4.18
"KONG Classic Kong Dog Toy, Red",388,4.56
K-Ii Enterprises Pet-Agree Dog Training Aid Ultrasonic,380,3.65
Safari Professional Nail Trimmer,380,4.78
"PetSafe Ultrasonic Indoor Bark Control, PBC-1000",378,2.44
KONG Rubber Flyer Dog Toy,375,3.87
Nutramax Cosequin DS Double-Strength Chewable Tablets - 250 Count,365,4.7
K&H Lectro Soft Outdoor Bed,359,4.3
Contech CatStop Ultrasonic Outdoor Cat Deterrent,355,3.0
Midwest Life Stages Single-Door Folding Metal Dog Crate,349,4.52
"Litter Robot LRII Automatic Self-Cleaning Litter Box, Beige",348,4.36
IRIS Neat 'n Dry Floor Protection and Training Pads for Puppies and Dogs,346,4.01
"ChuckIt! Medium Ultra Balls 2.5-Inch, 2-Pack",343,4.83
Marineland Penguin Power Filter,342,3.82
Merry Pet Products-Cat Washroom And Night Stand,335,3.85
Nylabone Dura Chew Bone,335,4.29
"PetSafe Deluxe Big Dog Trainer, PDBDT-305",332,3.52
Nylabone Durable Dental Dinosaur Chew Toy (Dinosaur Varies),319,4.01
Snoozer Console Pet Car Seat Cream Fur,316,4.1
Everlasting Treat Ball,314,3.37
Midwest iCrate Double-Door Home Training and Travel Series,308,4.45
Lounger Orthopedic Dog Bed,308,3.09
"Earthbath All Natural Shampoo, 16-Ounce",305,4.61
Bagel Dog Bed in Red and Sherpa,304,4.48
PetQwerks Talking Babble Ball Dog Toy,303,4.03
"PetSafe Deluxe Little-Dog Remote Trainer for Pets Under 40 Pounds, PDLDT-305",298,3.71
Kong Air Squeaker Football,294,3.48
Nutramax Dasuquin with MSM for Large Dogs - 150 Tablets,294,4.78
"CatGenie-Self Washing, Self Flushing Cat Box",291,3.32
NOZTONOZ Sof-Krate Indoor/Outdoor Pet Home,290,4.39
Bags on Board Bone Dispenser with 30 Refill Bags,290,4.26
Firstrax Port-A-Crate E2 Indoor/Outdoor Pet Home,287,4.21
Good Pet Stuff Hidden Litter Litter Box,286,4.44
Pet Dreams Plush Sleep-eez Dog Bed Reversible Pet Bed,284,4.38
K&H Pet Bed Warmer,283,4.19
Premier Twist and Treat Dog Toy,283,3.58
Slumber Pet Thermal Cat Mat,281,4.29
Lupine Designer Dog Lead,278,4.65
Horseman's Pride Jolly Ball,278,4.2
K&H 3093 Extreme Weather Kitty Pad with Fleece Cover,274,4.53
Marineland Eclipse Acrylic Aquarium System,272,3.85
PetSafe 6-Volt Lithium Battery (2 Batteries per Pack),272,3.32
Lupine Designer Roman Dog Harness,270,4.71
"Greenies Pill Pockets for Cats, 1.6-Ounce",270,4.44
Highland 20045 Black Universal Pet Barrier,268,3.82
Vittles Vault Stackable Container Holds,268,4.47
Perky Pet Hummingbird Glass Best Bird Feeder,266,4.15
"KONG ZoomGroom, Dog Grooming Toy",266,4.52
PetSafe Pawz Away Instant Pet Barrier,261,3.63
Wee-Wee Housebreaking Pads for Dogs,260,4.25
"ScoopFree Litter Tray Refills with Premium Blue Crystals, Pack of 6",255,4.08
IRIS Puppy and Dog Training Pad Holder,254,4.0
StarMark Clicker Dog Training System,254,4.34
"Bergan Turbo Scratcher Replacement Pads, 2 Pack",251,4.69
Casual Canine Reflective Jacket,249,4.2
Multipet Plush Dog Toy,248,4.21
K&H Cool Bed III Cooling Dog Bed,247,4.0
Flexi Classic Retractable Cord/Tape Lead,245,4.32
Drinkwell Big-Dog Pet Fountain,244,4.13
Contech StayAway Motion-Activated Pet Deterrent,242,3.9
Super Pet My First Home Deluxe Multi-Level Pet Home with Casters,242,3.74
Merial Frontline Top Spot Flea and Tick Control for Dogs and Puppies,235,3.96
"KONG Squeaker Tennis Balls Dog Toy, 3-Pack",234,3.72
Snoozer Lookout Car Seat,233,4.55
"Snoozer Lookout I Pet Car Seat, Small, Highland Maize",233,4.55
Solvit 62313 Waterproof Bench Seat Cover for Pets,230,4.33
Lentek Bark Free Dog Training Device,227,2.78
